| LINEAS  PRIORITARIAS                                          | GESTOR  DE PROYECTO               | Organo  desconcentrado /Red  prestacional o asitencial que  colaboran  en el proyecto    | Estudio                                                                                                                                                                                                                                                                                                    | ESTADO   ACTUAL DEL PROTOCOLO                          | Articulo                        | Tipo  de data utilizada                                  | Investigador Principal                                                      | Co-investigadores                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | APOYO ANALISIS DE DATOS                         |
| Tema 2 Salud Mental                                           | DR. Cesar  Cayo                   | ETSI-Red Prestacional  Almenara                                                          | MORBILIDAD PREVIA  Y PATRONES DE PRESCRIPCION SICOFARMACOLOGICA EN PACIENTES CON TRNSTORNO SICOTICO DE  NUEVO DIAGNOSTICO   EN ESSALUD                                                                                                                                                                     | Elaboración  protocolo                                 |                                 | Red Prestacional  Almenara                               | Jeff David Huarcaya Victoria                                                | Miguel  Pinto /Fabian Fiestas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Mitshell Ramos/Bryan Bastidas                   |
| Tema 2 Salud Mental                                           | DR. Cesar  Cayo                   | ETSI-Red Prestacional  Almenara                                                          | FRECUENCIA DE  DIAGNOSTICOS DE SALUD MENTAL  EN PACIENTES ATENDIDOS   EN SERVICIOS DE  EMERGENCIAS ANIVEL NACIONAL EN ESSALUD                                                                                                                                                                              | Elaboración  protocolo                                 |                                 | Red Prestacional  Almenara                               | Jeff David Huarcaya Victoria                                                | Angela Podestá  / Diana  Lloja / Miguel Pinto                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | Brik Meza/Mitshell ramos                        |
| Tema 2 Salud Mental                                           | DR. Cesar  Cayo                   | ETSI-Red Prestacional  Almenara                                                          | FACTORES  ASOCIADOS  A LA ADHERENCIA  AL TRATAMIENTO      EN  PACIENTE  CON DIAGNOSTICOS EN SALUD MENTAL                                                                                                                                                                                                   | Elaboración  protocolo                                 |                                 | Red Prestacional  Almenara                               | Jeff David Huarcaya Victoria                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Mitshell Ramos/Bryan Bastidas                   |
| Tema 12 Salud Digital                                         | DR. Cesar  Cayo                   | IETSI /Red Prestacional Rebagliati                                                       | INTERVENCIÓN ASISTIDA POR ROBOT INTERACTIVO CON INTELIGENCIA ARTIFICIAL PARA REDUCIR ANSIEDAD Y DEPRESIÓN EN NIÑOS HOSPITALIZADOS EN EL SERVICIO DE ONCOLOGÍA PEDIÁTRICA Y  HEMATOLOGÍA PEDIÁTRICA  DEL HOSPITAL EDGARDO REBAGLIATI MARTINS DEL SEGURO SOCIAL DE SALUD ESSALUD SETIEMBRE – DICIEMBRE 2025. | Elaboración  protocolo                                 |                                 | Red Prestacional Rebagliati                              | Jeff David Huarcaya Victoria                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Mitshell Ramos/Bryan Bastidas                   |
| Tema 10 Prestación de servicios                               | Lic. Paola  Villaverde            | IETSI/Red Prestacional  Almenara                                                         | FACTORES RELACIONADOS A LA FRACTURA DE CADERA EN ADULTOS MAYORES ATENDIDOS EN EL SEGURO SOCIAL: ESTUDIO TRANSVERSAL                                                                                                                                                                                        | En Ejecución                                           |                                 | Red Regbagliati                                          | Carla Rossana Arroyo Zevallos                                               | Daysi Zulema Díaz Obregón Edgar Coila Paricahua María del Pilar Gamarra Samaniego Virgilio Efrain Failoc Rojas                                                                                                                                                                                                                                                                                                                                                                                                           | Mitshell Ramos/Bryan Bastidas                   |
| Tema 10 Prestación de servicios                               | Lic. Paola  Villaverde            | IETSI                                                                                    | FACTORES ASOCIADOS  AL ACCESO AL SERVICIOS DE SALUD   PAR A EL TAMIZAJE Y TRATAMIENTO DE HIPERTENSION ARTERIAL  , DIABETES MELLITUS  Y OTRAS CONDICIONES  RELACIONADAS  A LA EDAD EN LA EDAD   EN LA POBLACION DE 15 AÑOS O MAYORES EN EL PERU                                                             | Reporte de Resultado  de Investigación                 |                                 | Base de datos ENDES                                      | Fabian Fiestas                                                              | Marysela Ladera /Miguel Angel Paco Fernandez /                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Bryan Bastidas/Mitshell Ramos                   |
| Tema 3 Enfermedades  Cardiovasculares                         | Lic. Paola  Villaverde            | INCOR                                                                                    | MAGNITUD Y CARACTERISTICAS DE LAS CARDIOPATIA CONGENITAS A NIVEL NACIONAL                                                                                                                                                                                                                                  | Elaboración  protocolo                               |                                 | INCOR                                                    | Arcelia Reyes(IP)                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Mitshell Ramos/Bryan Bastidas                   |
| Tema 8 Covid- 19,tuberculosis y otras enfermedades infeciosas | Lic. Paola  Villaverde            | Red Prestacional  Rebagliati                                                             | PREVALENCIA DEL VIRUS DE LA INMUNODEFICIENCIA HUMANA SEGÚN ESTADIOS DIAGNOSTICADA Y NO DIAGNOSTICADA EN PACIENTES AMBULATORIOS DE ESSALUD, 2019-2023.                                                                                                                                                      | Elaboración  protocolo                              |                                 | Red Prestacional  Al,menara                              |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Mitshell Ramos/Bryan Bastidas                   |
| Tema 10 Prestación de servicios                               | Dra  Francia Human                | IETSI                                                                                    | PREVALENCIA DE ENFERMEDADES RARAS Y HUERFANAS    DE   ALTO COS EN EL SEGURO SOCIAL  DE SALUD                                                                                                                                                                                                               | Elaboración  protocolo                               |                                 | Red Prestacioanla Almenara /Red prestacional Rebagliati  |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza /Randy Loayza                         |
| Tema 11 Gestión                                               | Dr. Mario  Diaz                   | Gerencia  Central de   Operaciones/IETSI /Red  Prestacional Rebagliati                   | CARACTERÍSTICAS DE LAS REFERENCIAS RECIBIDAS POR EL HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS DURANTE EL PERIODO 2022 – 2024                                                                                                                                                                            | Elaboración  protocolo                               |                                 | Red   Prestacional Rebagliati                            | Investigador Principal :Dr Huanuco                                          | 1.Dr. Carlos A. Muñoz CárdenasJefe de la Unidad de Admisión, Registros Médicos, Referencia y Contrarreferencia Hospital I Carlos Alcántara Butterfield Red Prestacional Rebagliati - ESSALUD 2.Nelly Maruja Rodriguez Pacheco Sub Gerencia de Normas de Servicios de Salud – Gerencia de Políticas y Normas de Atención Integral de Salud - Gerencias Central de Prestaciones de Salud. Dr  Miguel Angel Paco Fernadez  Fabiola  Huaroto  Dr. Garabito  Dr  Perez   Dra Daysi Diaz Obregón Claudia Sedano  Randy , Elsa  | Brik Meza/Richard Castillo                      |
| Tema 11 Gestión                                               | Invt. Oper.Elsa  Parvicino        | Gerencia  Central de   Operaciones/IETSI /Red  Prestacional Rebagliati                   | OPTIMIZACIÓN DE LOS TIEMPOS DE ESPERA DEL PROCESO DE ATENCIÓN DE REFERENCIAS MÉDICAS EN EL HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS MEDIANTE SIMULACIÓN COMPUTACIONAL.                                                                                                                                 | Elaboración  protocolo                              |                                 | Red   Prestacional Rebagliati                            | Ing Zoilo                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Randy Layza                           |
| Tema 11 Gestión                                               | Invt. Oper.Elsa  Parvicino        | Gerencia  Central de   Operaciones/IETSI /Red  Prestacional Rebagliati                   | OPTIMIZACIÓN DEL TIEMPO DE VIGENCIA DE LA REFERENCIA EN EL HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS MEDIANTE SIMULACIÓN COMPUTACIONAL 2022-2024                                                                                                                                                        |                                                        |                                 |                                                          |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                 |
| Tema 3 Enfermedades  Cardiovasculares                         | Lic. Paola  Villaverde            | INCOR                                                                                    | CARACTERÍSTICAS, MANEJO Y DESENLACES CLÍNICOS DEL  INFARTO AGUDO DE MIOCARDIO ST ELEVADO EN PACIENTES ATENDIDOS A NIVEL NACIONAL EN ESTABLECIMIENTOS DE SALUD DE ESSALUD EN EL PERIODO 2019 – 2024"                                                                                                        | Elaboración  protocolo                              |                                 | INCOR                                                    | Jesus Garcia                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Randy Layza                           |
| Tema 3 Enfermedades  Cardiovasculares                         | Lic. Paola  Villaverde            | Red  Prestacional Rebagliati                                                             | ESTUDIO QUE EVALÚE PERFILES DE DEMANDA CARDIOVASCULAR EN  LOS NIVELES DE ATENCIÓN DE LAS REDES ASISTENCIALES PARA REFERENCIAS Y CONTRARREFERENCIAS SEGÚN PRIORIDAD      EN LA RED PRESTACIONAL REBAGLIATI                                                                                                  | Elaboración  protocolo                               |                                 | Red  Prestacional Rebagliati                             | Dr  Ebert  Poquioma  Rojas                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Randy Layza                           |
| Tema 11 Gestión                                               | Lic. Paola  Villaverde            | IETSI /Gerencia  Central de Prestaciones /Gerencia  Central  de  operaciones             | CARACTERIZACIÓN DE LA DESERCIÓN A LA CONSULTA  EXTERNA   EN  LA RED   PRESTACIONAL  REBAGLIATI EN EL PERÍODO DE LOS AÑOS 2022 – 2024 EN  EL SEGURO SOCIAL DE SALUD                                                                                                                                         | Elaboración  protocolo                             |                                 | Red  Prestacional Rebagliati                             | Ebert Carlos Poquioma Rojas (I¨P)                                          |  Co- Investigador responsable:  Miguel Angel Paco Fernandez Coinvestigadores:   Jorge Arturo Meza Zaragoza Daysi Zulema Díaz Obregón   Paola Villaverde Montes de Oca   Amalia Roscío Villena Romaní   N Brik Henrry Meza Pinedo   Claudia Aracelli Sedano Porras                                                                                                                                                                                                                                                  | Brik Meza/Randy Layza                           |
| Tema 5 Manutrición y Anemia                                   | Lic. Paola  Villaverde            | IETSI /Red  Prestacional Rebagliati                                                      | PREVALENCIA  Y GRADOS  DE ANEMIA EN  MENORES DE 5 AÑOS  EN LAS REDES ESSALUD: UNA ESTIMACIÓN BASADA EN REGISTROS ELECTRÓNICOS,2019-2023                                                                                                                                                                    | Validacion de protocolo                                |                                 | Red  Prestacional Rebagliati                             | Dr Matos  / Dr Coila                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Richard Castillo                      |
| Tema 12 Salud Digital                                         | DR PACO /DRA LADERA               | IETSI                                                                                    | CHATBOT EN FASE BETA PARA PROMOCIÓN DE LA SALUD NUTRICIONAL Y PREVENCIÓN DE ENFERMEDADES CRÓNICAS: ESTUDIO DE USABILIDAD EN MAYORES DE 40 AÑOS SIN DIAGNÓSTICO DE ENFERMEDAD CRÓNICA.                                                                                                                      | Reporte de Resultado  de Investigación                 |                                 | IA                                                       | Brek  Meza(IP)                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Richard Castillo                      |
| Tema 12 Salud Digital                                         | Lic. Paola  Villaverde            | IETSI                                                                                    | EVALUACION  DE VIAVILIDAD Y USABILIDAD  DE UN SISTEMA DE TRNSCRIPCION AUTOMATICA(VOZ) PARA LA OPTIMIZACION DE REGISTROS DE CONSULTA MEDICAS EN EL HOSPITAL                                                                                                                                                 | Levantamiento  de obs  CIE                             |                                 | IA                                                       | Investigador Principal: Nombres y apellidos: Brik Henrry Meza Pinedo        | Coinvestigador Responsable (cuando corresponde): Nombres y apellidos: Daysi Zulema Díaz Obregón Coinvestigadores: Nombres y apellidos: Claudia Aracelli Sedano Porras Nombres y apellidos: Luis Randy Loayza Arroyo Nombres y apellidos: Mitshell Bikrham Ramos Quispe Nombres y apellidos: Bryan Christopher Bastidas Reyes                                                                                                                                                                                             | Brik Meza/Randy Loayza                          |
| Tema 12 Salud Digital                                         | DR. Cesar  Cayo                   | IETSI                                                                                    | ESTUDIO PILOTO DEL DESEMPEÑO DE UN BRAZO ROBÓTICO CON APRENDIZAJE POR IMITACIÓN EN LA ORGANIZACIÓN AUTOMATIZADA DE MEDICAMENTOS EN FARMACIA HOSPITALARIA                                                                                                                                                   | En Ejecución                                          |                                 | IETSI                                                    | Mitshell Bikrham Ramos Quispe                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Bryan Bastidas                        |
| Tema 12 Salud Digital                                         | Dra karine Cevallos               | IETSI                                                                                    | APLICACIÓN DE UN MODELO CLASIFICADOR Y UN MODELO DE LENGUAJE DE GRAN ESCALA (LLM) PARA APOYAR LA DETECCIÓN Y GENERACIÓN DE REPORTES DE NEUMONÍA EN RADIOGRAFÍAS DE TÓRAX: PRUEBA PILOTO EN ESSALUD”                                                                                                        | En Ejecución                                           |                                 | IETSI                                                    | Investigador Principal: Nombres y apellidos: Mitshell Bikrham Ramos Quispe  | Coinvestigador Responsable (cuando corresponde): Nombres y apellidos: Daysi Zulema Díaz Obregón Coinvestigadores: Nombres y apellidos: Claudia Aracelli Sedano Porras Nombres y apellidos: Brik Henrry Meza Pinedo Nombres y apellidos: Luis Randy Loayza Arroyo Nombres y apellidos: Bryan Christopher Bastidas Reyes                                                                                                                                                                                                   | Mitshell Ramos/Bryan Bastidas                   |
| Tema 1 Cáncer                                                 | Invt. Oper.Elsa  Parvicino        | Red  Prestacional Rebagliati                                                             | OPTIMITACION  DE LOS TIEMPOS DE ESPERA PARA EL INICIO  DEL TRATAMIENTO DE CANCER  DE MAMA  A TRAVEZ  DE SIMULACION COMPUTACIONAL  EN  EL HERB                                                                                                                                                              | Elaboración  protocolo                               |                                 | Red  Prestacional Rebagliati                             | Dr. Michael Maza                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Elsa                                  |
| Tema 1 Cáncer                                                 | Invt. Oper.Elsa  Parvicino        | Red  Prestacional Rebagliati                                                             | OPTIMITACION  DE LOS TIEMPOS DE ESPERA PARA EL INICIO  DEL TRATAMIENTO DE CANCER GASTRICO   A TRAVEZ  DE SIMULACION COMPUTACIONAL  EN  EL HERB                                                                                                                                                             | Elaboración  protocolo                               |                                 | Red  Prestacional Rebagliati                             | Dr. Michael Portanova                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Richard Castillo/Elsa                           |
| Tema 10 Prestación de servicios                               | Dr. Miguel  Angel  Paco Fernandez | IETSI                                                                                    | CARACTERIZACIÓN DE LA MORTALIDAD EVITABLE EN ELSEGURO SOCIAL DE SALUD ESSALUD  2024                                                                                                                                                                                                                        | En Ejecución                                          |                                 | IETSI                                                    | Miguel Angel Paco Fernadez(IP)                                              | Marysela Irene Ladera Castañeda Randy ,Paola Villaverde ,Mariali pameli Meza Mediana  ,Dra. fabiola Huaroroto                                                                                                                                                                                                                                                                                                                                                                                                            | Mitshell Ramos/Randy Loayza                     |
| Tema 10 Prestación de servicios                               | Dra karine Cevallos               | IESTI/OPS                                                                                | HOSPITALIZACIONES POR CONDICIONES SENSIBLES A LA ATENCIÓN AMBULATORIA MARCO DE REFERENCIA DEL INDICADOR                                                                                                                                                                                                    | Elaboración  protocolo                              |                                 | Data Nacional                                            | IETSI                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Richard Castillo/Bryan Bastidas                 |
| Tema 6  Salud materna  perinatal y neonatal                   | Dr. Miguel  Angel  Paco Fernandez | IETSI                                                                                    | MUERTE EVITABLE EN MUJERES EN EDAD FERTIL                                                                                                                                                                                                                                                                  | Elaboración  protocolo                              |                                 | IETSI                                                    | Miguel Angel Paco Fernadez(IP)                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Mitshell Ramos/Randy Loayza                     |
| Tema 7 Resistencia antimicrobiana                             | Dr. Miguel  Angel  Paco Fernandez | IETSI                                                                                    | PERFIL DE RESISTENCIA ANTIMICROBIANA   EN LA RED  ASISTENCIAL HUANUCO                                                                                                                                                                                                                                      | Elaboración  protocolo                               |                                 | Red Asistencial Huanuco                                  |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Randy Loayza                          |
| Tema 12 Salud Digital                                         | Dra. Marysela Ladera  Castañeda   | IETSI                                                                                    | EL PAPEL DE LA TELESALUD EN LA COBERTURA UNIVERSAL DE  SALUD EN EL PERÚ:  UNA REVISIÓN BIBLIOGRÁFICA                                                                                                                                                                                                       | Reporte de Resultado  de Investigación                 | Articulo  enviado    a revsita  | Revision d e literatura                                  | Marysela   Ladera                                                           | Deysi  Diaz Obregon Dra Cotrina Dr Cesar Cayo Dra Berenice Zea                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Marysela Ladera                                 |
| Tema 5 Manutrición y Anemia                                   | Dra. Marysela Ladera  Castañeda   | IETSI                                                                                    | ANEMIA Y CARIES DENTAL  EN NIÑOS DE 3 AÑOS DEL SEGURO SOCIAL DE ESALUD                                                                                                                                                                                                                                     | Elaboración  protocolo                              |                                 | Red  Prestacional Rebagliati                             |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Randy Loayza                          |
| Tema 9   Genracion de recursos y financiamiento               | Invt. Oper.Elsa  Parvicino        | Red  Prestacional Rebagliati                                                             | INTEROPERABILIDAD DEL EQUIPO EN UCI                                                                                                                                                                                                                                                                        | Elaboración  protocolo                              |                                 | Red  Prestacional Rebagliati                             |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza/Randy Loayza                          |
| Tema 10 Prestación de servicios                               | Dra  Francia Human                | IETSI                                                                                    | ENFERMEDADES RARAS Y HUÉRFANAS   EN AMERICA LATINA: UNA REVISION DE LITERUATURA                                                                                                                                                                                                                            | Reporte de Resultado  de Investigación                 | Articulo  enviado    a revsita  | Revision d e literatura                                  |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                 |
| Tema 10 Prestación de servicios                               | Dra  Francia Human                | IETSI                                                                                    | PREVALENCIA DE ENFERMEDADES RARAS Y HUERFANAS    LISTADO  MINSA                                                                                                                                                                                                                                            | Elaboración  protocolo                               |                                 | Red Prestacioanla Almenara /Red prestacional Rebagliati  |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza /Randy Loayza                         |
| Tema 10 Prestación de servicios                               | Dra  Francia Human                | IETSI                                                                                    | ENFERMEDADES RARAS Y HUÉRFANAS NO REPORTADAS EN EL PERÚ SEGÚN REGISTROS OFICIALES DEL MINSA                                                                                                                                                                                                                | Elaboración  protocolo                               |                                 | Red Prestacioanla Almenara /Red prestacional Rebagliati  |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza /Randy Loayza                         |
| Tema 10 Prestación de servicios                               | Dra  Francia Human                | IETSI                                                                                    | MORTALIDAD EVITABLE EN NIÑOS MENORES DE UN AÑO                                                                                                                                                                                                                                                             | Elaboración  protocolo                               |                                 | Datos CINADEF                                            | Miguel Angel Paco Fernadez(IP)                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza /Randy Loayza                         |
| Tema 10 Prestación de servicios                               | Dr. Mario  Diaz                   | IETSI                                                                                    | PRODUCCION CIENTIFICA  EN EL EGURO SOCIAL DE SALUD-ESSALUD (2015-2024)                                                                                                                                                                                                                                     | En Ejecución                                           |                                 |                                                          |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                 |
| Tema 11 Gestión                                               | Dra karine Cevallos               | IETSI                                                                                    | Evaluación de las características operativas de los Comités de Ética en Investigación del Seguro Social de Salud en Perú                                                                                                                                                                                   | Elaboración  protocolo                               |                                 | Comité  de Etica   Essalud                               | Juan Vargas                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza /Randy Loayza                         |
| Tema 12 Salud Digital                                         | Dra karine Cevallos               | IETSI                                                                                    |  Evaluación de la usabilidad y aceptabilidad de un prototipo de chatbot para la prevención de   enfermedades  en un  establecimiento de salud de la Red prestacional Rebagliati                                                                                                                            | Elaboración  protocolo                               |                                 | Red Prestacioan Rebagliati                               |                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Brik Meza /Randy Loayza                         |
